sep=|
DIPUTACIONES
13/06/2021 09:47 (UTC-5)
ACTAS_ESPERADAS|ACTAS_COMPUTADAS|PORCENTAJE_ACTAS_COMPUTADAS|TOTAL_VOTOS
300|300|100.0000|49,107,009

TIPO_CANDIDATURA|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|NOMBRE_DISTRITO|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PES|RSP|FXM|CANDIDATO/A NO REGISTRADO/A|VOTOS NULOS|TOTAL_VOTOS_CALCULADOS|FECHA_HORA
RP|1|AGUASCALIENTES|1|JESUS MARIA|62687|23717|8034|11731|7696|6494|48317|3184|2208|9231|-|-|190528|13/06/2021 08:06:55
RP|1|AGUASCALIENTES|2|AGUASCALIENTES|64670|10097|3629|3228|2479|6339|41285|2433|1049|2872|-|-|143314|13/06/2021 08:06:54
RP|1|AGUASCALIENTES|3|AGUASCALIENTES|101758|12857|2692|3473|1987|7128|38946|2243|975|3108|-|-|180246|13/06/2021 08:06:55
RP|2|BAJA CALIFORNIA|1|MEXICALI|23902|6650|1307|3351|2172|8432|59514|20582|1632|2650|-|-|134363|13/06/2021 08:06:04
RP|2|BAJA CALIFORNIA|2|MEXICALI|32136|9237|1461|2713|1816|7999|58174|22197|2273|2546|-|-|145757|13/06/2021 08:06:24
RP|2|BAJA CALIFORNIA|3|ENSENADA|16197|9115|2248|3009|8281|5337|53511|17317|3907|14696|-|-|138607|13/06/2021 08:06:24
RP|2|BAJA CALIFORNIA|4|TIJUANA|10449|4947|2250|4001|4431|5480|81138|19177|1692|2558|-|-|141150|13/06/2021 08:06:21
RP|2|BAJA CALIFORNIA|5|TIJUANA|29896|10100|2497|3645|3135|6540|60352|26436|2421|3085|-|-|152870|13/06/2021 08:06:11
RP|2|BAJA CALIFORNIA|6|TIJUANA|24735|10056|2376|3668|1956|6103|57298|28160|1688|2667|-|-|143709|13/06/2021 08:06:02
RP|2|BAJA CALIFORNIA|7|MEXICALI|12518|8200|1699|4410|3266|7050|58412|22148|3142|5993|-|-|131824|13/06/2021 08:06:51
RP|2|BAJA CALIFORNIA|8|TIJUANA|14486|6165|2503|3367|2414|5109|68698|24246|1517|2546|-|-|134895|13/06/2021 08:06:42
RP|3|BAJA CALIFORNIA SUR|1|LA PAZ|60394|8983|2202|5217|8272|5900|58332|3822|1665|4254|-|-|164171|13/06/2021 08:06:08
RP|3|BAJA CALIFORNIA SUR|2|SAN JOSE DEL CABO|35806|4047|1221|3634|9639|3277|43622|2577|2608|5527|-|-|115715|13/06/2021 08:06:08
